optimizer,dataset,seed,min_sse
basin_hopping,dual_annealing_3,8,65037.31926949
cmaes,pso_2,7,929330.26243163
dual_annealing,pso_2,10,376802.95541811
lshade,cmaes_2,4,178130.87761273
pso,basin_hopping_3,6,1603071.64650832
basin_hopping,basin_hopping_3,5,49577.87594636
lshade,lshade_2,6,54742.2957768
lshade,cmaes_1,10,109800.73593898
basin_hopping,basin_hopping_2,7,277942.90669234
lshade,cmaes_3,1,123109.97812121
cmaes,pso_2,5,419784.45008303
cmaes,dual_annealing_1,2,459051.96160302
cmaes,lshade_1,6,40117.57698882
lshade,dual_annealing_1,2,52073.51982882
basin_hopping,pso_1,9,53449.26246894
lshade,pso_2,9,35429.41938877
pso,dual_annealing_2,7,2518528.05812611
cmaes,cmaes_1,1,54242.76028064
lshade,dual_annealing_3,8,58843.84906222
lshade,pso_1,2,49204.26502636
lshade,pso_3,6,49385.87762426
pso,lshade_3,6,1292628.25914643
dual_annealing,dual_annealing_2,5,1506172.34088747
dual_annealing,cmaes_3,10,429392.87959706
dual_annealing,lshade_1,7,694237.1955612
pso,lshade_3,1,979991.23459095
lshade,lshade_1,2,45557.15033832
pso,dual_annealing_2,5,953795.85318232
cmaes,cmaes_3,7,45928.37945649
pso,cmaes_3,7,2869774.85709498
basin_hopping,dual_annealing_2,1,37376.52133162
basin_hopping,basin_hopping_2,2,85317.86930369
pso,pso_2,2,134569.38574121
lshade,lshade_2,2,57838.6453415
basin_hopping,lshade_1,7,192614.77648877
dual_annealing,pso_3,9,533670.22528652
lshade,pso_2,2,35428.02380882
dual_annealing,dual_annealing_2,7,664945.67243102
dual_annealing,basin_hopping_2,9,230770.56766417
cmaes,lshade_3,4,51174.59057266
dual_annealing,pso_3,1,680992.07666361
cmaes,cmaes_2,6,108671.67326962
pso,dual_annealing_3,5,1054878.87347989
cmaes,lshade_2,10,732965.78077202
pso,lshade_1,8,1639858.03521625
basin_hopping,pso_3,8,148849.54578609
lshade,basin_hopping_1,8,65957.20006175
basin_hopping,dual_annealing_1,4,118955.01656078
basin_hopping,pso_1,1,55464.85434664
lshade,pso_2,3,35489.9158643
basin_hopping,basin_hopping_1,3,46081.02165826
dual_annealing,cmaes_3,2,197657.56310968
dual_annealing,basin_hopping_3,7,876791.55120317
lshade,pso_3,2,51539.64630257
pso,cmaes_3,5,1156586.31347442
pso,dual_annealing_3,6,1448839.6327915
pso,dual_annealing_2,3,1763297.02239828
cmaes,lshade_2,6,44776.3484506
dual_annealing,pso_1,2,48768.46405493
lshade,basin_hopping_1,4,55436.1688169
dual_annealing,basin_hopping_2,2,123968.8413828
cmaes,cmaes_1,2,58090.88281521
pso,dual_annealing_1,7,2547164.32251079
lshade,pso_2,1,35436.14406089
pso,dual_annealing_1,8,2113578.823875
cmaes,dual_annealing_3,1,33058.62166701
dual_annealing,cmaes_2,7,779300.49017377
lshade,cmaes_1,4,117998.58901032
cmaes,dual_annealing_1,7,43490.78100618
