optimizer,category,rmse_use,mase,optimizer_name
basin_hopping,dual_annealing,56.476693123584894,0.36018698619771156,Basin Hopping
cmaes,dual_annealing,28.514303249169206,0.5147260021118533,CMA-ES
lshade,basin_hopping,35.559812076379735,0.4242582683701964,L-SHADE
pso,basin_hopping,184.4102033396326,0.4264506920390771,PSO
cmaes,pso,48.95868800530638,0.44458618586432713,CMA-ES
cmaes,dual_annealing,28.121739784133407,0.24859609983348374,CMA-ES
pso,dual_annealing,141.47856338654606,0.35231157841197736,PSO
dual_annealing,cmaes,187.80077232275005,0.45522605065567745,Dual Annealing
lshade,pso,28.70386679883651,0.1540789328079645,L-SHADE
basin_hopping,cmaes,52.807605044245946,0.4538390063900066,Basin Hopping
cmaes,lshade,69.22269552323039,0.2583357159456313,CMA-ES
pso,lshade,171.27699860539727,0.29146303978636584,PSO
dual_annealing,pso,149.43939701480687,0.30397314559368965,Dual Annealing
cmaes,basin_hopping,33.949043032428385,0.3703463077652912,CMA-ES
cmaes,lshade,34.5080293323129,0.3667269778742646,CMA-ES
pso,basin_hopping,260.51349898378163,0.5153041629216057,PSO
lshade,pso,33.54459875876113,0.26124912758788965,L-SHADE
basin_hopping,cmaes,48.4305039562445,0.3320595837895747,Basin Hopping
lshade,basin_hopping,44.65951929489311,0.3807653169715951,L-SHADE
dual_annealing,cmaes,117.68581525088166,0.2901415513838764,Dual Annealing
lshade,pso,34.007700042657916,0.19689055927670965,L-SHADE
cmaes,pso,28.698238310050762,0.3692918777239542,CMA-ES
pso,basin_hopping,187.90201580151808,0.4264506920390771,PSO
cmaes,pso,33.72500674887101,0.31445059730402586,CMA-ES
basin_hopping,lshade,31.381268908916365,0.43518554273226295,Basin Hopping
pso,lshade,161.03353542317362,0.42554986419796653,PSO
dual_annealing,lshade,96.24160081405111,0.3791250384559597,Dual Annealing
pso,basin_hopping,258.84386120154494,0.4961285004775287,PSO
pso,cmaes,183.13374468435535,0.27052966109204263,PSO
cmaes,pso,33.119572435487974,0.37178297412551153,CMA-ES
basin_hopping,cmaes,66.08876966109102,0.4871308727333492,Basin Hopping
cmaes,pso,38.05633734574034,0.4013145092004295,CMA-ES
basin_hopping,pso,33.76096763601767,0.26276663633493197,Basin Hopping
cmaes,pso,33.250144421560805,0.39506809575261786,CMA-ES
dual_annealing,pso,34.719267066559304,0.24998548223163897,Dual Annealing
basin_hopping,cmaes,46.227689220234204,0.27446354191859634,Basin Hopping
basin_hopping,lshade,33.568448535953074,0.37355301543150443,Basin Hopping
